date,rep,age,treatment,plot,no. recap,estkill,Emergence,Flight,Me-response,pctkill,protein-F,protein-M,treatage
4/12/2017,1,01d,110skm,A,1746,1746,0.895,0.855,0.85,0.426084380630621,2,0,01d110
5/3/2017,2,01d,110skm,C,1669,1669,0.9,0.88,0.733,0.45633799612881,4,0,01d110
5/31/2017,3,01d,110skm,B,1951,1951,0.905,0.82,0.733,0.56931196816111,6,0,01d110
8/1/2017,4,01d,110skm,A,1594,1594,0.98,0.86,0.933,0.321767070790766,9,0,01d110
8/23/2017,5,01d,110skm,C,1372,1372,0.97,0.84,0.967,0.27639874546558,17,0,01d110
9/13/2017,6,01d,110skm,B,1732,1732,0.93,0.875,0.967,0.349373421109371,5,1,01d110
4/26/2017,1,14d,110skm,A,1664,1664,0.905,0.87,0.967,0.346911316115476,2,0,14d110
5/17/2017,2,14d,110skm,C,1941,1941,0.895,0.855,0.967,0.416360346996966,6,1,14d110
6/14/2017,3,14d,110skm,B,2365,2365,0.925,0.855,0.933,0.508746113379347,10,2,14d110
8/16/2017,4,14d,110skm,A,3331,3331,0.99,0.83,0.867,0.742167100796544,14,2,14d110
9/6/2017,5,14d,110skm,C,1474,1474,0.99,0.86,0.867,0.316959804813314,12,1,14d110
9/27/2017,6,14d,110skm,B,2022,2022,0.99,0.87,0.8,0.465796442807937,11,1,14d110
4/12/2017,1,01d,220skm,B,826,1652,0.895,0.855,0.85,0.403145129897931,0,0,01d220
5/3/2017,2,01d,220skm,A,746,1492,0.9,0.88,0.733,0.407942654418325,3,0,01d220
5/31/2017,3,01d,220skm,C,613,1226,0.905,0.82,0.733,0.357753189628663,6,0,01d220
8/1/2017,4,01d,220skm,B,707,1414,0.98,0.86,0.933,0.285432018882148,11,0,01d220
8/23/2017,5,01d,220skm,A,806,1612,0.97,0.84,0.967,0.3247483802409,9,0,01d220
9/13/2017,6,01d,220skm,C,541,1082,0.93,0.875,0.967,0.218257529815438,15,4,01d220
4/26/2017,1,14d,220skm,B,773,1546,0.905,0.87,0.967,0.322310633842864,2,0,14d220
5/17/2017,2,14d,220skm,A,833,1666,0.895,0.855,0.967,0.35737060180162,5,1,14d220
6/14/2017,3,14d,220skm,C,882,1764,0.925,0.855,0.933,0.379462217336646,28,1,14d220
8/16/2017,4,14d,220skm,B,1116,2232,0.99,0.83,0.867,0.49730320293542,10,0,14d220
9/6/2017,5,14d,220skm,A,1056,2112,0.99,0.86,0.867,0.454151362120569,21,1,14d220
9/27/2017,6,14d,220skm,C,650,1300,0.99,0.87,0.8,0.299473479550108,37,1,14d220
4/12/2017,1,01d,440skm,C,393,1572,0.895,0.855,0.85,0.383622363316917,1,0,01d440
5/3/2017,2,01d,440skm,B,447,1788,0.9,0.88,0.733,0.488874977278797,3,0,01d440
5/31/2017,3,01d,440skm,A,300,1200,0.905,0.82,0.733,0.350166254122671,7,1,01d440
8/1/2017,4,01d,440skm,C,192,768,0.98,0.86,0.933,0.155029554810106,17,0,01d440
8/23/2017,5,01d,440skm,B,323,1292,0.97,0.84,0.967,0.260282200540473,8,1,01d440
9/13/2017,6,01d,440skm,A,287,1148,0.93,0.875,0.967,0.231570835700669,7,0,01d440
4/26/2017,1,14d,440skm,C,194,776,0.905,0.87,0.967,0.16178075799616,2,1,14d440
5/17/2017,2,14d,440skm,B,343,1372,0.895,0.855,0.967,0.294305201483687,0,0,14d440
6/14/2017,3,14d,440skm,A,474,1896,0.925,0.855,0.933,0.407857349246191,24,6,14d440
8/16/2017,4,14d,440skm,C,588,2352,0.99,0.83,0.867,0.524039934276034,32,8,14d440
9/6/2017,5,14d,440skm,B,292,1168,0.99,0.86,0.867,0.251159465415163,7,1,14d440
9/27/2017,6,14d,440skm,A,483,1932,0.99,0.87,0.8,0.445063663454468,24,0,14d440
